Club|Last Name|First Name|Pos|Base Salary|Compensation|year
Vancouver Whitecaps|Marinovic|Stefan|GK|150000|162562.5|2018
Philadelphia Union|Marquez|Richie|D|145000|151430|2018
Seattle Sounders FC|Marshall|Chad|D|3e+05|341250|2018
Minnesota United|Martin|Collin|M|95004|95004|2018
Atlanta United|Martinez|Josef|F|1270008|1387318|2018
Colorado Rapids|Martinez|Enzo|M|67500|67500|2018
Columbus Crew|Martinez|Cristian|M|68915.07|73415.07|2018
New York Red Bulls|Kutler|Ethan|D|54500.04|54500.04|2018
Sporting Kansas City|Kuzain|Wan|M|67500|67500|2018
New York Red Bulls|Lade|Connor|D|114000|120749.85|2018
FC Dallas|Lamah|Roland|M|675000|818500|2018
Minnesota United|Lampson|Matt|GK|100000.08|107500.08|2018
Portland Timbers|Langsdorf|Foster|F|54500.04|54500.04|2018
Atlanta United|Larentowicz|Jeff|M|210000|210000|2018
Orlando City SC|Laryea|Richie|M|135000|164000|2018
LA Galaxy|Lassiter|Ariel|F|67500|67500|2018
New York Red Bulls|Lawrence|Kemar|D|150000|255600|2018
Seattle Sounders FC|Leerdam|Kelvin|D|500000.04|575000.04|2018
|Lefevre|Wandrille|D|109999.92|119499.92|2018
|Leiton|Jose|F-M|67500|83000|2018
Real Salt Lake|Lennon|Brooks|F|225000|237583.33|2018
Vancouver Whitecaps|Levis|Brett|D|68250|70750|2018
New York City FC|Lewis|Jonathan|F|90000|125500|2018
Chicago Fire|Lillard|Grant|D|80000.04|82500.04|2018
San Jose Earthquakes|Lima|Nick|D|93996|100200.03|2018
Orlando City SC|Lindley|Cam|M|80000.04|88906.29|2018
Sporting Kansas City|Lindsey|Jaylin|D|54504|67504|2018
LA Galaxy|Lletget|Sebastian|M|240000|252666.67|2018
Sporting Kansas City|Lobato|Cristian|M|240000|240000|2018
Seattle Sounders FC|Lodeiro|Nicolas|M|1800000|2302500|2018
New York Red Bulls|Long|Aaron|D|73125|73125|2018
LAFC|Lopez|Luis|GK|70000.08|147500.08|2018
Real Salt Lake|Lopez-Espin|Ricky|F|67500|76250|2018
Minnesota United|Kallman|Brent|D|82500|85791.67|2018
LA Galaxy|Kamara|Ola|F|825000|925000|2018
Vancouver Whitecaps|Kamara|Kei|F|1e+06|1e+06|2018
Atlanta United|Kann|Alec|GK|94008|94008|2018
Minnesota United|Kapp|Alex|GK|55654.2|55654.2|2018
Chicago Fire|Kappelhof|Johan|D|555000|595000|2018
San Jose Earthquakes|Kashia|Guram|D|549999.96|549999.96|2018
Chicago Fire|Katai|Aleksandar|M|1200000|1320333.33|2018
LAFC|Kaye|Mark-Anthony|M|69999.96|74999.96|2018
Seattle Sounders FC|Kee-Hee|Kim|D|500004|632004|2018
|Keita|Muhamed|F|324999.96|367291.71|2018
DC United|Kelly|Dane|F|67500|69500|2018
DC United|Kemp|Taylor|D|140000|140000|2018
Columbus Crew|Kempin|Jonathan|GK|80256|80256|2018
Columbus Crew|Ketterer|Logan|GK|67500|67500|2018
LA Galaxy|Kitchen|Perry|D-M|450000|474166.67|2018
Orlando City SC|Kljestan|Sacha|M|1025000.04|1100000.04|2018
New England Revolution|Knighton|Brad|GK|105955.56|110955.56|2018
|Konopka|Chris|GK|67500|67500|2018
LAFC|Kovar|Aaron|M|69457.5|69657.5|2018
Atlanta United|Kratz|Kevin|M|165000|179250|2018
Real Salt Lake|Kreilach|Damir|M|9e+05|1013333.33|2018
Montreal Impact|Krolicki|Ken|M|54500.04|54500.04|2018
Atlanta United|Kunga|Lagos|M-F|54500.04|58500.04|2018
Vancouver Whitecaps|Hurtado|Erik|F/M|150000|156250|2018
LA Galaxy|Husidic|Baggio|M|174999.96|174999.96|2018
San Jose Earthquakes|Hyka|Jahmir|M|489996|539996|2018
Minnesota United|Ibarra|Romario|M|500000.04|546250.04|2018
Minnesota United|Ibarra|Miguel|M|3e+05|332322|2018
New York City FC|Ibeagha|Sebastien|D|67500|67500|2018
LA Galaxy|Ibrahimovic|Zlatan|F|1500000|1500000|2018
Toronto FC|Irwin|Clint|GK|210000|221312.7|2018
New York Red Bulls|Ivan|Andreas|M|240000|344100|2018
Colorado Rapids|Jackson|Niki|F|54500.04|54500.04|2018
Montreal Impact|Jackson-Hamel|Anthony|F|140000.04|155000.04|2018
Portland Timbers|Jadama|Modou|D|54500.04|54500.04|2018
Columbus Crew|Jahn|Adam|F|97500|97500|2018
LAFC|Jakovic|Dejan|D|150000|150000|2018
LA Galaxy|Jamieson|Bradford|F|72765|72765|2018
Toronto FC|Janson|Lucas|F|396000|449000|2018
DC United|Jeffrey|Jared|M|114996|124996|2018
Columbus Crew|Jimenez|Hector|M|159996|159996|2018
Chicago Fire|Johnson|Daniel|M|68254.2|68254.2|2018
New York City FC|Johnson|Sean|GK|250008|250008|2018
Orlando City SC|Johnson|Will|M|434004|470004|2018
Philadelphia Union|Jones|Derrick|M|70000|75900|2018
Vancouver Whitecaps|Juarez|Efrain|D-M|525000|619833.33|2018
San Jose Earthquakes|Jungwirth|Florian|D-M|500004|566671.07|2018
FC Dallas|Hayes|Jacori|M|68250.04|75750.04|2018
Minnesota United|Heath|Harrison|M|69457.5|69457.5|2018
FC Dallas|Hedges|Matt|D|500004|525004|2018
Real Salt Lake|Henley|Adam|D|114999.96|122833.29|2018
Vancouver Whitecaps|Henry|Doneil|D|140004|154237.71|2018
Philadelphia Union|Herbers|Fabian|F-M|100008|100008|2018
New England Revolution|Herivaux|Zachary|M|68906.25|83906.25|2018
