Club|Last Name|First Name|Pos|Base Salary|Compensation|year
MTL|Ciman|Laurent|D|630000|661666.67|2016
CLB|Clark|Steve|GK|220000|238333.33|2016
HOU|Clark|Ricardo|M|319200|356700|2016
CHI|Cocis|Razvan|M|160000|160000|2016
KC|Coelho|Nuno|D|275000|412500|2016
LA|Cole|Ashley|D|3e+05|327625|2016
NYRB|Collin|Aurelien|D|5e+05|525000|2016
SJ|Colvey|Kip|D|51499.92|51499.92|2016
PHI|Conceicao|Anderson|D|150000|174166.67|2016
CHI|Conner|Drew|M|62500|62500|2016
TOR|Cooper|Armando|M|180000|193333.33|2016
DAL|Craft|Coy|F-M|70000|87083.33|2016
PHI|Creavalle|Warren|M|118000|125666.67|2016
MTL|Crepeau|Maxime|GK|52500|52500|2016
COL|Cronin|Sam|M|225000|227500|2016
NE|Cropper|Cody|F|62508|62508|2016
LA|Da Silva|Leonardo|D|160000|165000|2016
NYRB|Damari|Omer|F|228499.92|228499.92|2016
DAL|David|Aubrey|D|62508|83674.67|2016
PHI|Davies|Charlie|F|108937.5|113315.63|2016
VAN|Davies|Alphonso|M|62499.96|62499.96|2016
KC|Davis|Brad|M|355000|355000|2016
NYRB|Davis|Sean|M|90000|107500|2016
SJ|Dawkins|Simon|M|8e+05|8e+05|2016
VAN|de Jong|Marcel|D-M|62499.96|62499.96|2016
CHI|De Leeuw|Michael|F|450000|514212.5|2016
VAN|Dean|Christian|D|110000|191000|2016
LA|DeLaGarza|AJ|D|225000|227500|2016
DC|DeLeon|Nick|M|235000|235000|2016
TOR|Delgado|Marco|M|1e+05|102500|2016
SEA|Dempsey|Clint|F|3913008|4605941.5|2016
HOU|Deric|Tyler|GK|170000|170000|2016
MTL|Dia|Amadou|D|51500|51500|2016
DAL|Diaz|Mauro|M|466000|562890|2016
LA|Diop|Clement|GK|62500|62500|2016
NYCFC|Diskerud|Mix|M|761250|761250|2016
MTL|Donadel|Marco|M|350000|386666.67|2016
LA|Donovan|Landon|F|456000|456000|2016
ORL|Donovan|Conor|D|90000|118000|2016
CHI|Doody|Patrick|D|53471|53471|2016
LA|Dos Santos|Giovani|F|2500000|4250000|2016
COL|Doyle|Conor|F|66000|67250|2016
COL|Doyle|Kevin|F|1075000|1120000|2016
MTL|Drogba|Didier|F|1666667|2191667|2016
CLB|Duka|Dilly|M|62508|62508|2016
DC|Durkin|Chris|D-M|51504|60670.67|2016
NYRB|Duvall|Chris|D|63000|63000|2016
KC|Dwyer|Dom|F|5e+05|618750|2016
DC|Dykstra|Andrew|GK|75000|85700|2016
|Ebobisse|Jeremy|F|53000.04|96000.04|2016
VAN|Edgar|David|D|105000|113416.67|2016
PHI|Edu|Maurice|M|725000|793750|2016
ORL|Edwards|Earl|GK|52500|52500|2016
KC|Ellis|Kevin|D|72000|75150|2016
SJ|Emeghara|Innocent|F|988000|1300000|2016
TOR|Endoh|Tsubasa|F|51500|51500|2016
HOU|Escalante|Jose|M|51499.92|51499.92|2016
KC|Espinoza|Roger|M|8e+05|8e+05|2016
NYRB|Etienne|Derrick|M|51500|56500|2016
SEA|Evans|Brad|D-M|276665|315166.25|2016
PHI|Fabinho|Fabinho|D|142008|150008|2016
NE|Fagundez|Diego|M|145000|165000|2016
SEA|Farfan|Michael|M|80000|80000|2016
NE|Farrell|Andrew|D|148500|229500|2016
KC|Feilhaber|Benny|M|4e+05|412187.5|2016
PHI|Fernandes|Leo|M|63000|63000|2016
CHI|Fernandez|Collin|M|75000|77000|2016
RSL|Fernandez|Eduardo|GK|63000|63000|2016
SEA|Fernandez|Alvaro|M|264000|294000|2016
DAL|Figueroa|Maynor|D|115000|138333.33|2016
CLB|Finlay|Ethan|M|250000|250000|2016
MTL|Fisher|Kyle|D|65000|73375|2016
SEA|Fisher|Oniel|M-D|62500|62500|2016
VAN|Flores|Deybi|M|62500|68385|2016
CLB|Francis|Waylon|D|2e+05|224375|2016
SJ|Francis|Shaun|D|95000|103333.33|2016
DC|Franklin|Sean|D|225000|256666.67|2016
SEA|Frei|Stefan|GK|2e+05|206250|2016
SEA|Friberg|Erik|M|240000|262500|2016
VAN|Froese|Kianz|M|66000|70500|2016
PHI|Gaddis|Raymon|D|150000|152500|2016
MTL|Gagnon-Lapare|Jeremy|M|51500|51500|2016
HOU|Garcia|Boniek|M|225000|247500|2016
HOU|Garcia|Kevin|D|62508|62508|2016
LA|Garcia|Rafael|M|75000|75000|2016
ORL|Garcia|Devron|M-F|62500|70937.5|2016
RSL|Garcia|Olmes|F|160000|160000|2016
|Gargan|Dan|D|145000|145000|2016
COL|Gashi|Shkelzen|F|1575000|1668750|2016
CHI|Gehrig|Eric|D|106875|112708.33|2016
LA|Gerrard|Steven|M|6e+06|6132500|2016
TOR|Giovinco|Sebastian|F|5600000|7115555.67|2016
RSL|Glad|Justen|D|1e+05|111000|2016
POR|Gleeson|Jake|GK|91556|96722.67|2016
SJ|Godoy|Anibal|M|216000|242250|2016
SJ|Goitom|Henok|F|682800|729300|2016
NYCFC|Gomez|Shannon|D|51500.04|51500.04|2016
SEA|Gomez|Herculez|F|62500.08|62500.08|2016
NE|Goncalves|Jose|D|450000|479375|2016
DAL|Gonzalez|Jesse|GK|67500|76875|2016
SJ|Goodson|Clarence|D|315000|342000|2016
CHI|Goossens|John|M|2e+05|203333.33|2016
LA|Gordon|Alan|F|170000|170000|2016
POR|Grabavoy|Ned|M|150000|150000|2016
COL|Greenspan|Joseph|D|51500.04|52969.12|2016
NYRB|Grella|Mike|F|155000|157250|2016
DAL|Gruezo|Carlos|M|450000|686500|2016
DAL|Guillen|Aaron|D|51500|51500|2016
TOR|Hagglund|Nick|D|63000|63000|2016
COL|Hairston|Marlon|D-M|90000|113000|2016
KC|Hallisey|Connor|M|63000|76750|2016
DC|Hamid|Bill|GK|325000|370500|2016
POR|Hamilton|Wade|GK|51504|51504|2016
TOR|Hamilton|Jordan|F|66150|78650|2016
CHI|Harrington|Michael|D|125000|125000|2016
DAL|Harris|Atiba|M-F|143000|143000|2016
NYCFC|Harrison|Jack|M|125000|160500|2016
VAN|Harvey|Jordan|D|165000|165000|2016
ORL|Heath|Harrison|M|63000|63000|2016
DAL|Hedges|Matt|D|152000|152000|2016
PHI|Herbers|Fabian|M-F|1e+05|125500|2016
NE|Herivaux|Zachary|M|62500|62500|2016
DAL|Herman|Ryan|GK|62508|62508|2016
DAL|Hernandez|Moises|D|1e+05|105000|2016
NYCFC|Hernandez|Jason|D|2e+05|210000|2016
CLB|Higuain|Federico|M|1175000|1175000|2016
ORL|Higuita|Cristian|M|80000|80000|2016
ORL|Hines|Sebastian|D|150000|151250|2016
NE|Hollinger-Janzen|Femi|F|51500.04|51500.04|2016
DAL|Hollingshead|Ryan|M-D|122500|122500|2016
CLB|Hollingsworth|Marshall|M|51499.92|51499.92|2016
RSL|Holness|Omar|F|1e+05|123500|2016
HOU|Horst|David|D|88593.75|91343.75|2016
DC|Horton|Charlie|GK|69999.96|76166.63|2016
COL|Howard|Tim|GK|2100000|2575000|2016
VAN|Hurtado|Erik|F/M|86091.5|121091.5|2016
LA|Husidic|Baggio|M|150000|150000|2016
HOU|Ibeagha|Sebastien|D|62500|62500|2016
DC|Igboananike|Kennedy|F|8e+05|901666.67|2016
PHI|Ilsinho|Ilsinho|M|430000|478333.33|2016
SJ|Imperiale|Andres|D|85000|87500|2016
HOU|Iniguez|Agustin|D|132000|132000|2016
NYCFC|Iraola|Andoni|D|200004|200004|2016
TOR|Irwin|Clint|GK|95625|107625|2016
SEA|Ivanschitz|Andreas|M|250000|271250|2016
MTL|Jackson-Hamel|Anthony|F|63000|63000|2016
VAN|Jacobson|Andrew|M|62500.08|87500.08|2016
CLB|Jahn|Adam|F|67500|67500|2016
LA|Jamieson|Bradford|F|63000|63000|2016
DC|Jeffrey|Jared|M|71662.5|77862.5|2016
POR|Jewsbury|Jack|M|140000|147000|2016
CLB|Jimenez|Hector|M|105000|105000|2016
NYCFC|Johansen|Eirik|GK|62500|62500|2016
CHI|Johnson|Sean|GK|250000|253000|2016
TOR|Johnson|Will|M|375000|395333.33|2016
ATL|Jones|Kenwyne|F|62508|85841.33|2016
COL|Jones|Jermaine|M|6e+05|650000|2016
PHI|Jones|Derrick|M|51504|57404|2016
PHI|Jones|Matt|GK|75000|80625|2016
SEA|Jones|Darwin|F|62500|68750|2016
SEA|Jones|Joevin|D|70000|76166.67|2016
KC|Joya|Benjamin|M|51504|51504|2016
ORL|Kaka||M|6660000|7167500|2016
CLB|Kamara|Ola|F|425000|457500|2016
DC|Kamara|Alhaji|F|51500.04|59750.04|2016
NE|Kamara|Kei|F|1e+06|1e+06|2016
KC|Kann|Alec|GK|63000|63000|2016
CHI|Kappelhof|Johan|D|480000|520000|2016
RSL|Kavita|Phanuel|D|51500|51500|2016
LA|Keane|Robbie|F|3500000|3500000|2016
DC|Kemp|Taylor|D|1e+05|1e+05|2016
KC|Kempin|Jonathan|GK|82750|82750|2016
LA|Kennedy|Dan|GK|180000|195400|2016
NYRB|Kljestan|Sacha|M|550000|687500|2016
POR|Klute|Chris|D|86625|91921.8|2016
NE|Knighton|Brad|GK|86105.25|86105.25|2016
NE|Kobayashi|Daigo|M|120000|132000|2016
NE|Koffie|Gershon|M|250000|261000|2016
POR|Konopka|Chris|GK|62499.96|64999.96|2016
DC|Korb|Chris|D|108900|116379.83|2016
NE|Kouassi|Xavier|M|840000|890541.75|2016
SEA|Kovar|Aaron|M|63000|63200|2016
PHI|Kratz|Kevin|M|62508|76758|2016
MTL|Kronberg|Eric|GK|145200|145200|2016
VAN|Kudo|Masato|F|310000|370000|2016
VAN|Laba|Matias|M|560000|720500|2016
CHI|LaBrocca|Nick|M|110000|110000|2016
NYRB|Lade|Connor|D|62500|65312.5|2016
NYCFC|Lampard|Frank|M|6e+06|6e+06|2016
CHI|Lampson|Matt|GK|71250|76625|2016
LA|Larentowicz|Jeff|M|175000|175000|2016
ORL|Larin|Cyle|F|135000|177000|2016
ORL|Laryea|Richmond|M|125000|154000|2016
LA|Lassiter|Ariel|F|51500|51500|2016
NYRB|Lawrence|Kemar|D|1e+05|205600|2016
COL|Le Toux|Sebastien|F-M|3e+05|310228.13|2016
MTL|Lefevre|Wandrille|D|63000|63000|2016
SJ|Lenhart|Steven|F|170000|179083.33|2016
VAN|Levis|Brett|D|62499.96|64999.96|2016
DAL|Lizarazo|Carlos|M-F|62508|130633|2016
LA|Lletget|Sebastian|M|110000|115500|2016
SEA|Lodeiro|Nicolas|M|1371428.52|1743428.52|2016
NYRB|Long|Aaron|D|51504|51504|2016
NYCFC|Lopez|Mikey|M|51500|51500|2016
HOU|Lovejoy|Rob|M|52500|52500|2016
TOR|Lovitz|Daniel|M|63000|63000|2016
SEA|Lowe|Damion|D|66412.5|77412.5|2016
DAL|Loyd|Zach|D|2e+05|221666.67|2016
HOU|Lucatero|Christian|M|51500|51750|2016
SEA|Lyon|Charlie|GK|52500|52500|2016
CLB|Mabwati|Cedrick|M|235000|263350|2016
COL|MacMath|Zac|GK|140004|140004|2016
LA|Magee|Mike|M|250000|250000|2016
HOU|Maidana|Cristian|M|223850|237600|2016
MTL|Mallace|Calum|M|1e+05|116250|2016
DC|Mancini|Andrea|F|82500|82500|2016
MTL|Mancosu|Matteo|F|189000|189000|2016
VAN|Manneh|Kekuta|M-F|127500|157000|2016
TOR|Mannella|Chris|M|63000|63000|2016
|Manning|Anthony|D|52500|52500|2016
HOU|Manotas|Mauro|F|85000|85000|2016
HOU|Mansally|Kenny|D|77500|84000|2016
SEA|Mansaray|Victor|F|62500|66000|2016
KC|Mapp|Justin|M|224070|239070|2016
PHI|Marquez|Richard|D|63000|69400|2016
SEA|Marshall|Chad|D|325000|341250|2016
DC|Martin|Collin|M|75000|89166.67|2016
CLB|Martinez|Cristian|M|62508|67008|2016
NYCFC|Martinez|Diego|D|135000|135000|2016
RSL|Martinez|Juan Manuel|F|1060000|1458666.67|2016
NYRB|Martins|Felipe|M|250000|280000|2016
NYCFC|Matarrita|Ronald|D|150000|175000|2016
POR|Mattocks|Darren|F|215000|231666.67|2016
RSL|Maund|Aaron|D|85000|88449.5|2016
LA|McBean|Jack|F|62499.96|62499.96|2016
ATL|McCann|Chris|M|62508|90508|2016
PHI|McCarthy|John|GK|79000|88250|2016
NYRB|McCarty|Dax|M|4e+05|5e+05|2016
NE|McCrary|Jordan|D|62500|62500|2016
POR|McInerney|Jack|F|270000|270000|2016
VAN|McKendry|Ben|M|52500|52500|2016
CHI|McLain|Patrick|GK|72500|72500|2016
NYCFC|McNamara|Thomas|M|73500|85000|2016
NYRB|Meara|Ryan|GK|75246.15|76496.15|2016
SEA|Mears|Tyrone|D|175000|184000|2016
KC|Medranda|Jimmy|D|63000|63000|2016
CHI|Meira|Joao|D-M|110000|126500|2016
POR|Melano|Lucas|F|760000|980000|2016
KC|Melia|Tim|GK|150000|152500|2016
NYCFC|Mena|Jefferson|D|220000|231400|2016
LA|Mendiola|Raul|F|62500|62500|2016
NYCFC|Mendoza|Stiven|F|207276|207276|2016
CLB|Meram|Justin|M|175000|185000|2016
SJ|Meredith|Bryan|GK|63000|63000|2016
VAN|Mezquida|Nicolas|M-F|88000|88000|2016
COL|Miller|Eric|D|66412.5|77412.5|2016
SEA|Miller|Tyler|GK|62508|62508|2016
DC|Mishu|Luke|D|62500|62500|2016
PHI|Missimo|Cole|M|51500|51500|2016
POOL|Mitchell|Trey|GK|62500|62500|2016
ORL|Molino|Kevin|M|110000|121400|2016
HOU|Monteiro de Lima|Alex|M|152000|152000|2016
TOR|Moor|Drew|D|235000|250000|2016
|Moore|Luke|F|115000|137500|2016
RSL|Morales|Javier|M|590000|590000|2016
VAN|Morales|Pedro|M|1232500|1471400|2016
TOR|Morgan|Ashtone|D|120000|132000|2016
CHI|Morrell|Alex|M|51500|51500|2016
SEA|Morris|Jordan|F|178000|190500|2016
TOR|Morrow|Justin|D|2e+05|216666.67|2016
RSL|Movsisyan|Yura|F|2e+05|2e+05|2016
RSL|Mulholland|Luke|M|160008|160008|2016
DC|Mullins|Patrick|F|96250|126250|2016
KC|Mustivar|Soni|M|2e+05|2e+05|2016
NYRB|Muyl|Alex|F|62500|66500|2016
KC|Myers|Chance|D|2e+05|225000|2016
CLB|Naess|Nicolai|D|200004|207504|2016
KC|Nagamura|Paulo|M|225000|225000|2016
POR|Nagbe|Darlington|M/F|5e+05|515000|2016
DC|Neagle|Lamar|M-F|185000|187833.33|2016
NE|Neumann|Steve|M-F|62500|62500|2016
NE|Nguyen|Lee|M|5e+05|5e+05|2016
ORL|Nocerino|Antonio|M|6e+05|650000|2016
DC|Nyarko|Patrick|F-M|210000|225750|2016
SJ|Nyassi|Sanna|M|135000|141250|2016
ATL|Oblitey Otoo|Jeffrey|M-F|51504|51504|2016
SEA|Ockford|Jimmy|D|63000|63000|2016
MTL|Oduro|Dominic|F|235000|235000|2016
POR|Okugo|Amobi|D-M|3e+05|325000|2016
RSL|Okwuonu|Boyd|D|66000|86000|2016
RSL|Olave|Jamison|D|215000|215000|2016
KC|Olum|Lawrence|M|105000|115000|2016
MTL|Ontivero|Lucas|M|380000|440000|2016
KC|Opara|Ike|D|125000|131250|2016
DC|Opare|Kofi|D|90000|105000|2016
DAL|Ortiz|Juan Esteban|M|160000|204500|2016
TOR|Osorio|Jonathan|M|166750|174570.68|2016
NYRB|Ouimette|Karl|D|63000|63000|2016
VAN|Ousted|David|GK|360000|378933.33|2016
CLB|Pacifici|Matt|GK|51499.92|51499.92|2016
KC|Palmer-Brown|Erik|D|65000|65500|2016
DAL|Paparatto|Norberto|D|174999.96|174999.96|2016
COL|Pappa|Marco|M|110000|110000|2016
VAN|Parker|Tim|D|66000|84750|2016
CLB|Parkhurst|Michael|D|275000|3e+05|2016
POR|Peay|Taylor|D|53472|53472|2016
SJ|Pelosi|Marc|M|72000|84500|2016
ORL|Perez|Matias|F|250000|250000|2016
VAN|Perez|Blas|F|215000|225750|2016
NYRB|Perrinelle|Damien|D|140000|140000|2016
KC|Peterson|Jacob|F|137750|144625|2016
COL|Pfeffer|Zach|M|101000|101000|2016
RSL|Phillips|Demar|D|127500|135333.33|2016
MTL|Piatti|Ignacio|M|425000|425000|2016
NYCFC|Pirlo|Andrea|M|5600000|5915690|2016
DAL|Pitter|Timo|M-F|51504|51504|2016
RSL|Plata|Joao|F|175000|175000|2016
POR|Polk|Ben|F|62500|68750|2016
CHI|Polster|Matt|M|84000|99000|2016
DAL|Pomykal|Paxton|M|51504|56504|2016
PHI|Pontius|Chris|M-F|380000|411000|2016
KC|Porter|Cameron|F|62500|69750|2016
POR|Powell|Alvas|D|95000|103700|2016
COL|Powers|Dillon|M|270000|3e+05|2016
SJ|Quintero|Alberto|M|169992|190717|2016
ORL|Ramajo|David Mateos|D|420000|453333.33|2016
COL|Ramirez|Juan Edgardo|M|85000|85000|2016
CHI|Ramos|Rodrigo|D|80000|84000|2016
ORL|Ramos|Rafael|D|96000|96000|2016
NYCFC|Rawls|Andre|GK|62508|62508|2016
ORL|Redding|Tommy|D|95000|102500|2016
SEA|Remick|Dylan|D|63000|63000|2016
PHI|Restrepo|Walter|M|125000|139500|2016
NYRB|Reynish|Kyle|GK|62500|62500|2016
ORL|Ribeiro|Pedro|M-F|63000|63000|2016
TOR|Ricketts|Tosaint|F|63000|81333.33|2016
POR|Ridgewell|Liam|D|1100000|1140000|2016
RSL|Rimando|Nick|GK|4e+05|420000|2016
ORL|Rivas|Carlos|M|80000|80000|2016
TOR|Roberts|Quillan|GK|63000|63000|2016
DC|Robinson|Jalen|D|75000|87000|2016
NYRB|Robles|Luis|GK|265000|267500|2016
ORL|Rocha|Tony|M|62496|62496|2016
ORL|Rochez|Bryan|F|180000|259500|2016
HOU|Rodriguez|Raul|D|350000|379333.33|2016
LA|Rogers|Robbie|M|220000|228500|2016
SEA|Roldan|Cristian|M|95000|117000|2016
DC|Rolfe|Chris|F|257500|272500|2016
MTL|Romero|Andres|M|110000|110000|2016
LA|Romney|David|D|63000|63000|2016
DAL|Rosales|Mauro|M|62500|62500|2016
PHI|Rosenberry|Keegan|D|62500|68312.5|2016
LA|Rowe|Brian|GK|80000|80000|2016
NE|Rowe|Kelyn|M|160000|241000|2016
NYRB|Royer|Daniel|M|375000|375000|2016
KC|Rubio Kostner|Diego|F|180000|196875|2016
DAL|Ruiz|Carlos|F|72000|72000|2016
DC|Saborio|Alvaro|F|420000|535500|2016
CLB|Saeid|Mohammed|M|110000|120000|2016
MTL|Salazar|Michael|F|51492|51492|2016
SJ|Salinas|Shea|M|163125|166458.33|2016
KC|Salloi|Daniel|F|51500|51500|2016
DC|Sam|Lloyd|M-F|230000|240000|2016
RSL|Sandoval|Devon|F|67500|67500|2016
PHI|Sapong|CJ|F|225000|225000|2016
CLB|Saravia|Rodrigo|M|51504|51504|2016
SJ|Sarkodie|Kofi|D|62500|62500|2016
DC|Sarvas|Marcelo|M|360000|425000|2016
RSL|Saucedo|Sebastian|M|62500|73000|2016
NYCFC|Saunders|Josh|GK|150000|150000|2016
CLB|Sauro|Gaston|D|585000|601312.5|2016
RSL|Schuler|Chris|D|62499.96|67499.96|2016
SEA|Scott|Zach|D|62500|62500|2016
VAN|Seiler|Cole|D|51500|51500|2016
DAL|Seitz|Chris|GK|136000|136000|2016
COL|Serna|Dillon|M|66000|79000|2016
ORL|Shea|Brek|M-D|550000|595000|2016
NYCFC|Shelton|Khiry|F|77000|94500|2016
SJ|Sherrod|Mark|F|63000|63000|2016
MTL|Shipp|Harrison|M|104500|129500|2016
NE|Shuttleworth|Robert|GK|137500|154375|2016
SJ|Silva|Matheus|M|52500|52500|2016
TOR|Simonin|Clement|D|63000|63000|2016
KC|Sinovic|Seth|D|105000|112666.67|2016
COL|Sjoberg|Axel|D|66000|81000|2016
NE|Smith|Donnie|M|63000|63000|2016
VAN|Smith|Jordan|D|115000|122743|2016
CHI|Solignac|Luis|F|85000|85000|2016
LA|Sorto|Oscar|D|63000|64875|2016
COL|St. Ledger|Sean|D|191875|194375|2016
ORL|Stajduhar|Mason|GK|51500|51500|2016
CLB|Steffen|Zack|GK|100008|100008|2016
HOU|Steinberger|Zach|M|63000|79250|2016
CHI|Stephens|Michael|M|105000|115000|2016
LA|Steres|Daniel|D|62500|65086.04|2016
RSL|Stertzer|John|M|66000|75166.67|2016
SJ|Stewart|Jordan|M-D|1e+05|1e+05|2016
SEA|Sturgis|Nathan|M|62508|62508|2016
CLB|Stuver|Brad|GK|63000|63000|2016
RSL|Sunday|Stephen|M|220000|233000|2016
CLB|Swanson|Ben|M|70000|90416.67|2016
ATL|Tambakis|Alexander|GK|63000|63000|2016
SJ|Tarbell|Andrew|GK|70000|84000|2016
NYCFC|Taylor|Tony|F|82500|91875|2016
POR|Taylor|Jermaine|D|150000|150000|2016
POR|Taylor|Steven|D|3e+05|319583.33|2016
CLB|Tchani|Tony|M|250000|283333.33|2016
VAN|Techera|Cristian|M|320000|345000|2016
VAN|Teibert|Russell|M|115000|182500|2016
CHI|Thiam|Khaly|M|144000|149000|2016
POR|Thoma|Andy|D|62500|64000|2016
SJ|Thompson|Tommy|M|150000|155000|2016
NE|Tierney|Chris|D-M|125000|133333.33|2016
MTL|Toia|Donny|D|67500|67500|2016
VAN|Tornaghi|Paolo|GK|62500|62500|2016
HOU|Torres|Erick|F|575000|590000|2016
SEA|Torres|Roman|D|416000|491812.5|2016
CLB|Trapp|Wil|M|151250|178250|2016
PHI|Tribbett|Ken|D|51500|51500|2016
PHI|Trusty|Auston|D|51500.04|80600.04|2016
|Tshuma|Schillo|F|81999.96|119999.96|2016
NE|Turner|Matt|GK|51500.04|51500.04|2016
ORL|Turner|Tyler|D|63000|63000|2016
DAL|Ulloa|Victor|M|130000|132500|2016
DAL|Urruti|Maximiliano|F|250000|250000|2016
SEA|Valdez|Nelson|F|1200000|1455000|2016
POR|Valentin|Zarek|D|90000|90000|2016
POR|Valeri|Diego|M|225000|605000|2016
LA|Van Damme|Jelle|D|425000|468750|2016
RSL|Velazco|Ricardo|F|62508|62508|2016
MTL|Venegas|Johan|M|2e+05|212500|2016
NYRB|Veron|Gonzalo|M-F|5e+05|5e+05|2016
NYCFC|Villa|David|F|5610000|5610000|2016
ATL|Villalba|Hector|F|62508|170258|2016
LA|Villarreal|Jose|F|90000|90000|2016
CHI|Vincent|Brandon|D|70000|91875|2016
DC|Vincent|Rob|M-F|62508|62508|2016
CLB|Wahl|Tyson|D|115000|115000|2016
HOU|Warner|Collen|M|146933.85|174433.85|2016
PHI|Washington|Taylor|D|51500|51500|2016
VAN|Waston|Kendall|D|3e+05|318125|2016
NE|Watson|Je-Vaughn|D-M|110004|115670.67|2016
COL|Watts|Jared|D-M|68000|68000|2016
RSL|Welshman|Emery|F|62500|62500|2016
HOU|Wenger|Andrew|M|190000|190000|2016
NYCFC|White|Ethan|D|62500|62500|2016
COL|Williams|Mekeil|D|85000|90000|2016
HOU|Williams|Sheanon|D|162500|171500|2016
MTL|Williams|Romario|F|75000|97000|2016
TOR|Williams|Josh|D|131250|131250|2016
HOU|Willis|Joe|GK|94500|94500|2016
RSL|Wingert|Chris|D|235000|235000|2016
SJ|Wondolowski|Chris|F|650000|7e+05|2016
NE|Woodberry|London|D|63000|63000|2016
DC|Worra|Travis|GK|53472|53472|2016
NYRB|Wright-Phillips|Bradley|F|650000|715000|2016
NYRB|Wright-Phillips|Shaun|M|1e+05|125500|2016
SJ|Wynne|Marvell|D|213750|224375|2016
PHI|Yaro|Joshua|D|130000|194000|2016
LA|Zardes|Gyasi|F|472500|472500|2016
TOR|Zavaleta|Eriq|D|93500|124100|2016
POR|Zemanski|Ben|M|85000|89000|2016
DAL|Zimmerman|Walker|D|174000|174000|2016
NYRB|Zizzo|Sal|M|105000|105000|2016
NYRB|Zubar|Ronald|D|240000|320000|2016
KC|Zusi|Graham|M|7e+05|732102.27|2016
NY|Abang|Anatole|F|50000|50000|2015
KC|Abdul-Salaam|Saad|D|60000|73750|2015
CHI|Accam|David|F|650000|720937.5|2015
DAL|Acosta|Kellyn|M|60000|84000|2015
VAN|Adekugbe|Samuel|D|60000|65000|2015
POR|Adi|Fanendo|F|651500|664000|2015
CLB|Afful|Harrison|D|150000|150000|2015
NE|Agudelo|Juan|F|4e+05|427500|2015
DC|Aguilar|Miguel|M|60000|60000|2015
DAL|Akindele|Tesho|F|70000|87500|2015
SJ|Alashe|Fatai|M|60000|76250|2015
HOU|Alex||M|142000|142000|2015
MTL|Alexander|Eric|M|140000|153750|2015
NYCFC|Allen|RJ|D|60000|60000|2015
RSL|Allen|Jordan|M/F|80000|90000|2015
SEA|Alonso|Osvaldo|M|748000|789667|2015
NE|Alston|Kevin|D|140000|158333.33|2015
TOR|Altidore|Jozy|F|4750000|4750000|2015
COL|Alvarez|Carlos|M|70000|70000|2015
NYCFC|Alvarez|Pablo|M|60000|63045.09|2015
SJ|Amarikwa|Quincy|F|1e+05|1e+05|2015
KC|Anibaba|Jalil|D|120000|150000|2015
KC|Anor|Bernardo|M|135000|135000|2015
TOR|Aparicio|Manuel|M|60000|60000|2015
PHI|Aristeguieta|Fernando|F|350004|350004|2015
DC|Arnaud|Davy|M|212500|212500|2015
DC|Arrieta|Jairo|F|150000|165000|2015
ORL|Ashe|Corey|M|180000|189750|2015
POR|Asprilla|Dairon|F|60000|60000|2015
RSL|Attinella|Jeff|GK|60000|65083.33|2015
ORL|Avila|Eric|M|72000|77000|2015
PHI|Ayuk|Eric|M|50000|50000|2015
SEA|Azira|Michael|D|60000|62826.88|2015
COL|Badji|Dominique|F|50000|50000|2015
NYCFC|Ballouchy|Mehdi|M|68250|83250|2015
HOU|Barnes|Giles|M|247500|258375|2015
NE|Barnes|Darrius|D|95000|101666.67|2015
PHI|Barnetta|Tranquillo|M|624000|661500|2015
SJ|Barrera|Leandro|F|60000|60000|2015
SEA|Barrett|Chad|F|95000|1e+05|2015
DAL|Barrios|Michael|M|60000|60000|2015
CLB|Barson|Chad|D|60000|60000|2015
HOU|Beasley|DaMarcus|D|750000|813333.33|2015
RSL|Beckerman|Kyle|M|625000|7e+05|2015
ORL|Bedell|Adam|F|60000|60000|2015
SEA|Bedinelli|Thomas|M|108000|133125|2015
VAN|Beitashour|Steven|D|190000|197166.67|2015
MTL|Bekker|Kyle|M|61765|88015|2015
RSL|Beltran|Anthony|D|195000|205950|2015
TOR|Bendik|Joe|GK|150000|157375|2015
SJ|Bernardez|Victor|D|2e+05|241600|2015
COL|Berner|John|GK|60000|60000|2015
MTL|Bernier|Patrice|F-M|90000|135000|2015
PHI|Berry|Austin|D|93519|108519|2015
KC|Besler|Matt|D|650000|683250|2015
POR|Besler|Nick|M|65000|81250|2015
SJ|Bingham|David|GK|130000|137750|2015
PHI|Bird|Eric|M|60000|60000|2015
DC|Birnbaum|Steven|D|66000|96000|2015
MTL|Bitolo|Ambroise|D|1e+05|1e+05|2015
PHI|Blake|Andre|GK|85000|123000|2015
TOR|Bloom|Mark|D|90000|97348.89|2015
ORL|Boden|Luke|D|75000|75000|2015
HOU|Boniek Garcia|Oscar|F|245000|303750|2015
TOR|Bono|Alex|GK|60000|80200|2015
POR|Borchers|Nat|D|235000|245000|2015
DC|Boswell|Bobby|D|2e+05|2e+05|2015
TOR|Bradley|Michael|M|6e+06|6500000|2015
NYCFC|Brandt|Connor|M|50000|50000|2015
NYCFC|Brovsky|Jeb|M|122500|129125|2015
HOU|Bruin|Will|F|140000|185000|2015
CHI|Bryce|Kingsley|M|50000|50000|2015
LA|Buddle|Edson|F|1e+05|106250|2015
NE|Bunbury|Teal|F|195000|240000|2015
COL|Burch|Marc|D|110000|110000|2015
COL|Burling|Bobby|D|132500|140000|2015
CHI|Busch|Jon|GK|85000|90000|2015
